724,700
741,625
674,665
751,653
782,550
601,656
617,657
707,661
773,555
727,571
714,640
640,610
759,693
717,708
627,700
718,664
780,683
656,711
659,628
703,669
602,673
687,664
780,576
748,669
707,551
759,637
799,661
616,669
691,672
627,612
635,603
704,715
662,623
750,714
742,635
651,606
601,629
677,707
615,665
649,683
732,633
612,668
799,658
759,687
638,575
756,574
769,722
703,677
771,596
790,624
732,563
681,601
691,712
737,683
710,662
633,620
755,596
616,648
622,707
654,559
749,629
666,680
707,592
692,694
658,637
675,580
611,606
698,650
721,659
783,658
674,616
702,662
662,653
799,723
744,587
747,586
610,650
745,724
685,725
711,661
795,659
670,698
795,696
643,595
729,658
794,568
724,700
774,572
734,661
672,724
672,584
689,667
637,613
627,618
622,591
705,576
724,626
652,707
694,632
730,703
711,647
620,609
784,676
772,559
723,662
729,556
682,648
726,579
676,610
768,617
764,699
697,626
780,712
605,679
634,586
643,704
788,589
739,717
781,647
603,703
651,568
642,653
757,626
641,674
770,690
764,722
730,594
634,703
666,615
628,636
685,578
683,715
762,678
753,624
737,726
670,611
767,700
756,610
742,715
719,709
767,715
646,570
641,616
739,570
743,726
709,688
614,670
760,562
633,716
683,698
684,651
770,635
767,608
719,701
687,725
698,595
722,664
747,710
710,670
722,662
664,727
723,701
609,672
739,556
712,590
619,585
755,662
726,571
670,698
648,667
632,716
779,607
629,725
717,669
771,553
632,724
689,684
648,570
763,563
739,669
798,690
633,699
742,568
712,686
729,582
701,565
787,600
639,606
697,667
758,569
786,709
664,671
721,602
786,644
610,650
689,669
781,637
601,687
736,551
